1	2
2	2
3	2
4	2
5	1
6	4
7	4
8	2
9	2
10	1
11	2
12	1
13	3
14	5
15	1
16	2
17	5
18	4
19	3
20	1
21	3
22	4
23	5
24	5
25	4
26	2
27	5
28	3
29	4
30	4
31	2
32	3
33	5
34	4
35	3
36	2
37	2
38	2
39	2
40	1
41	2
42	4
43	4
44	4
45	2
46	3
47	5
48	3
49	2
50	1
51	1
52	2
53	1
54	3
55	1
56	5
57	2
58	5
59	5
60	2
61	1
62	2
63	4
64	1
65	3
66	2
67	1
68	3
69	3
70	5
71	5
72	1
73	1
74	3
75	4
76	3
77	5
78	3
79	3
80	1
81	1
82	4
83	2
84	4
85	4
86	3
87	1
88	3
89	4
90	2
91	4
92	5
93	4
94	4
95	3
96	4
97	5
98	2
99	3
100	1
101	4
102	3
103	1
104	1
105	4
106	3
107	4
108	2
109	1
110	3
111	3
112	1
113	3
114	1
115	2
116	2
117	4
118	1
119	2
120	5
121	5
122	2
123	3
124	2
125	1
126	2
127	3
128	5
129	1
130	2
131	4
132	1
133	4
134	5
135	4
136	2
137	4
138	1
139	2
140	3
141	4
142	4
143	4
144	4
145	2
146	2
147	4
148	2
149	3
150	4
151	5
152	2
153	1
154	5
155	4
156	4
157	3
158	2
159	5
160	2
161	4
162	4
163	5
164	5
165	1
166	5
167	5
168	4
169	5
170	4
171	3
172	4
173	4
174	1
175	1
176	2
177	1
178	2
179	3
180	1
181	3
182	3
183	4
184	4
185	3
186	3
187	4
188	5
189	4
190	5
191	1
192	1
