422,-1
17,-1
411,-1
209,-1
201,-1
37,-1
29,-1
39,-1
217,-1
129,502
137,504
309,507
317,503
231,-1
117,512
139,507
301,511
223,-1
9,-1
109,500
236,-1
323,503
425,-1
38,-1
238,-1
408,-1
331,512
216,-1
16,-1
138,505
336,509
226,-1
316,504
3,-1
326,502
208,-1
22,-1
338,512
116,509
20,-1
234,-1
103,507
404,-1
308,507
21,-1
419,-1
220,-1
122,510
121,503
334,508
120,510
31,-1
320,505
12,-1
112,500
240,-1
340,500
7,-1
417,-1
8,-1
227,-1
229,-1
28,-1
327,502
131,512
329,503
206,-1
107,509
108,508
306,502
23,-1
6,-1
211,-1
311,500
418,-1
128,512
233,-1
333,500
230,-1
33,-1
106,508
330,502
11,-1
123,512
213,-1
111,502
407,-1
313,502
214,-1
40,-1
133,510
237,-1
10,-1
205,-1
305,500
426,-1
13,-1
110,504
140,508
215,-1
314,511
221,-1
24,-1
14,-1
337,512
321,503
315,506
113,510
124,505
114,505
35,-1
232,-1
228,-1
25,-1
239,-1
339,500
5,-1
105,500
125,504
332,507
18,-1
118,500
135,511
402,-1
328,511
219,-1
319,500
225,-1
413,-1
203,-1
4,-1
104,500
2,-1
102,500
414,-1
26,-1
224,-1
212,-1
325,510
126,503
303,510
30,-1
235,-1
312,505
218,-1
318,500
1,-1
101,500
130,506
324,512
19,-1
27,-1
202,-1
335,510
210,-1
127,503
204,-1
119,506
302,505
36,-1
304,503
222,-1
207,-1
307,500
34,-1
310,510
15,-1
115,500
136,508
32,-1
412,-1
322,509
410,-1
416,-1
403,-1
421,-1
405,-1
134,512
423,-1
424,-1
427,-1
401,-1
132,512
428,-1
429,-1
420,-1
415,-1
409,-1
406,-1
430,-1
