1	3
2	1
3	5
4	5
5	4
6	2
7	2
8	5
9	4
10	2
11	4
12	2
13	1
14	2
15	1
16	1
17	3
18	5
19	1
20	2
21	4
22	2
23	5
24	2
25	5
26	5
27	1
28	4
29	4
30	5
31	2
32	5
33	1
34	2
35	4
36	3
37	4
38	5
39	5
40	3
41	3
42	3
43	5
44	1
45	3
46	5
47	1
48	3
49	3
50	5
51	3
52	1
53	3
54	5
55	1
56	1
57	4
58	4
59	5
60	5
61	1
62	3
63	5
64	5
65	5
66	1
67	4
68	1
69	1
70	3
71	3
72	5
73	4
74	3
75	1
76	3
77	4
78	3
79	4
80	5
81	1
82	3
83	5
84	5
85	2
86	2
87	2
88	4
89	2
90	1
91	4
92	3
93	4
94	3
95	1
96	1
97	1
98	5
99	5
100	1
101	2
102	1
103	3
104	2
105	1
106	5
107	1
108	1
109	2
110	3
111	2
112	1
113	1
114	3
115	3
116	3
117	4
118	3
119	5
120	4
121	5
122	2
123	1
124	1
125	3
126	2
127	1
128	2
129	5
130	4
131	2
132	5
133	5
134	3
135	5
136	1
137	5
138	1
139	5
140	2
141	1
142	3
143	3
144	3
145	2
146	4
147	5
148	1
149	3
150	1
151	5
152	1
153	1
154	2
155	2
156	4
157	2
158	3
159	1
160	3
161	5
162	4
163	3
164	4
165	5
166	4
167	4
168	2
169	2
170	3
171	4
172	3
173	2
174	5
175	5
176	2
177	1
178	3
179	2
180	5
181	5
182	3
183	3
184	3
185	5
186	3
187	4
188	5
189	5
190	4
191	3
192	5
