31,-1
419,-1
13,-1
225,-1
325,500
113,502
401,-1
429,-1
204,-1
34,-1
234,-1
414,-1
131,511
134,503
334,503
11,-1
2,-1
240,-1
304,509
7,-1
107,500
205,-1
305,500
111,507
1,-1
101,500
340,508
425,-1
102,511
8,-1
238,-1
338,500
201,-1
301,500
219,-1
108,505
213,-1
427,-1
9,-1
319,504
30,-1
27,-1
215,-1
232,-1
109,505
38,-1
313,509
22,-1
122,500
332,505
231,-1
130,510
127,510
315,510
6,-1
138,509
331,505
236,-1
223,-1
230,-1
210,-1
323,502
18,-1
203,-1
106,509
330,505
35,-1
135,500
310,507
336,511
303,506
202,-1
302,500
118,510
217,-1
19,-1
119,500
426,-1
15,-1
212,-1
421,-1
23,-1
123,500
16,-1
12,-1
406,-1
312,506
317,512
413,-1
424,-1
115,511
407,-1
25,-1
116,509
214,-1
222,-1
322,500
112,512
227,-1
221,-1
233,-1
327,502
412,-1
314,508
125,511
333,504
206,-1
418,-1
24,-1
228,-1
32,-1
321,511
39,-1
124,504
216,-1
36,-1
224,-1
316,502
306,511
136,503
328,510
132,510
14,-1
139,510
324,507
114,502
226,-1
33,-1
17,-1
117,500
29,-1
129,500
237,-1
337,500
133,506
326,508
218,-1
220,-1
229,-1
3,-1
40,-1
320,503
208,-1
26,-1
103,504
318,508
329,507
10,-1
4,-1
308,506
110,502
211,-1
311,500
140,512
207,-1
5,-1
126,512
235,-1
37,-1
209,-1
104,511
20,-1
137,503
21,-1
105,508
335,507
28,-1
307,512
402,-1
239,-1
422,-1
309,511
120,510
423,-1
128,507
121,511
410,-1
417,-1
430,-1
428,-1
415,-1
339,511
416,-1
408,-1
405,-1
403,-1
411,-1
420,-1
409,-1
404,-1
